,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
62,9.4,5.86,0.53,jsat,4,2.0,32225 (2.70-3.00),9.48025,3.49116,,6.84,17.97,7.55,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,24199.4709467
108,2.9,14.0,0.52,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34188 (4.28-4.45),18.8255,4.51156,0.0,15.27,15.11,8.43,24346.1538271
82,6.81,2.46,0.28,jsat,3.5,2.0,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,25052.7828827
44,0.12,18.74,0.43,jsat,2?,3.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32225 (4.52-4.95),19.1233,3.4687,,9.43,21.37,7.8,25606.0980354
10,9.19,5.88,0.76,jsat,2,2.0,32201 (2.55-2.77),9.59389,0.0,,7.05,29.71,7.32,34188 (3.25-3.42),18.8302,2.66714,0.0,16.24,23.83,8.08,27095.9743082
110,,2.2,2.37,jsat,5,10.0,32233 (5.05-5.33),25.747,0.0,1.9545,11.88,20.17,8.87,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,27556.8276589
91,6.54,15.71,0.26,jsat,3,2.0,32225 (5.52-5.95),9.65691,3.46728,,9.43,25.4,7.63,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,27654.0689644
46,2.85,8.46,0.51,jsat,2?,2.5,32201 (5.90-6.20),9.6541,0.0,,9.55,40.11,7.37,32233 (2.76-2.96),25.778,0.0,,12.4,31.65,7.88,27766.8846827
37,6.32,15.76,0.15,jsat,3,2.0,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,34188 (2.24-2.41),18.8204,0.0298251,0.0,15.97,41.11,7.89,28706.0047136
103,,11.14,1.41,jsat,2.5,10.0,32233 (3.81-4.00),25.7632,0.0,0.493743,12.37,29.11,7.91,34165 (2.00-2.33),18.8512,0.0243271,0.0,,17.97,6.5,28998.3800616
