,Delta Ptot,Delta Tdiv,Delta nbar,Quantity,Scenario 1,Scenario 2,Signal 1,Signal 1 D,Signal 1 N,Signal 1 Ne,Signal 1 Ptot,Signal 1 Tdiv,Signal 1 nbar,Signal 2,Signal 2 D,Signal 2 N,Signal 2 Ne,Signal 2 Ptot,Signal 2 Tdiv,Signal 2 nbar,quadratic_mean
1174,1.07,16.07,1.44,jsat,,3.5,32932 (5.50-5.91),18.5736,19.4131,0.0,14.02,4.06,8.88,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,24820.7948661
957,6.58,0.37,0.55,jsat,,3.5,32238 (4.63-5.06),9.47207,0.0,0.177642,8.51,19.76,7.99,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,24868.5328212
1115,2.31,19.52,0.28,jsat,2,4.5,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,34189 (5.25-5.50),18.8304,10.1737,0.0,14.92,19.55,7.5,24956.6102294
215,0.9,14.48,1.28,jsat,2,,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,25055.1116223
913,6.55,7.74,0.05,jsat,,3.5,32238 (2.46-2.72),9.47367,0.0,0.0287791,8.54,27.87,7.49,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,25171.077547
851,1.28,16.95,0.07,jsat,,2,32235 (6.49-6.84),25.5133,0.0,0.274347,13.89,22.12,7.29,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,25218.5294991
199,2.92,17.59,1.08,jsat,2,,32201 (4.55-4.81),19.1003,0.0,,9.65,25.35,7.74,32234 (5.10-5.55),25.5233,0.0,0.0506868,12.57,7.76,8.82,25475.5516377
1052,6.7,1.46,0.67,jsat,,3.5,32239 (3.90-4.20),9.47201,0.0,0.122662,8.39,18.67,8.11,34189 (4.25-4.50),18.8358,7.42697,0.0,15.09,20.13,7.44,25581.1234705
739,1.06,18.41,0.78,jsat,,2,32235 (3.49-3.87),25.5696,0.0,0.962967,13.67,20.66,8.0,32931 (3.48-3.76),9.73754,2.76119,0.0,12.61,39.07,7.22,25585.0698316
793,4.91,9.02,1.54,jsat,,,32235 (5.55-5.98),25.5361,0.0,0.926972,13.66,19.89,7.48,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,25627.1705187
1085,7.05,13.53,1.65,jsat,,2,32239 (5.80-6.10),9.46983,0.0,0.0811663,8.75,10.87,9.02,34189 (2.87-3.20),18.8352,5.00709,0.0,15.8,24.4,7.37,25705.1154217
